X,Y,Color
-164.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-164.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-164.0,140.0,"(0.4, 0.8, 0.0, 1.0)"
-164.0,144.0,"(0.0, 0.2, 0.4, 1.0)"
-164.0,148.0,"(0.0, 0.6, 0.0, 1.0)"
-164.0,152.0,"(0.0, 0.2, 0.4, 1.0)"
-164.0,156.0,"(0.4, 0.8, 0.0, 1.0)"
-164.0,160.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-164.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-164.0,168.0,"(0.0, 0.6, 0.0, 1.0)"
-164.0,172.0,"(0.0, 0.4, 0.8, 1.0)"
-160.0,-180.0,"(0.0, 0.2, 0.4, 1.0)"
-160.0,-172.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,68.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,72.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,76.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,108.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,116.0,"(0.0, 0.4, 0.8, 1.0)"
-160.0,120.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,124.0,"(0.0, 0.6, 0.0, 1.0)"
-160.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-160.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-160.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-160.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-160.0,144.0,"(0.0, 0.4, 0.8, 1.0)"
-160.0,148.0,"(1.0, 0.0, 0.0, 1.0)"
-160.0,152.0,"(1.0, 0.0, 0.0, 1.0)"
-160.0,156.0,"(1.0, 0.0, 0.0, 1.0)"
-160.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-160.0,164.0,"(0.4, 0.8, 0.0, 1.0)"
-160.0,168.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,172.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,-180.0,"(0.0, 0.4, 0.8, 1.0)"
-156.0,48.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,108.0,"(0.0, 0.4, 0.8, 1.0)"
-156.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,120.0,"(0.4, 0.8, 0.0, 1.0)"
-156.0,124.0,"(0.0, 0.4, 0.8, 1.0)"
-156.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
