X,Y,Color
-160.0,-168.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,-164.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,-160.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,-68.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,-56.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,68.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,76.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,124.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,128.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,132.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-160.0,136.0,"(0.6, 0.8, 1.0, 1.0)"
-160.0,140.0,"(0.0, 0.4, 0.8, 1.0)"
-160.0,144.0,"(0.0, 0.6, 0.0, 1.0)"
-160.0,148.0,"(0.4, 0.8, 0.0, 1.0)"
-160.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-160.0,156.0,"(1.0, 1.0, 0.4, 1.0)"
-160.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-160.0,164.0,"(1.0, 1.0, 0.4, 1.0)"
-160.0,168.0,"(0.0, 0.6, 0.0, 1.0)"
-160.0,172.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-160.0,176.0,"(1.0, 1.0, 0.4, 1.0)"
-156.0,-180.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-156.0,-176.0,"(0.4, 0.8, 0.0, 1.0)"
-156.0,-172.0,"(0.0, 0.4, 0.8, 1.0)"
-156.0,-168.0,"(0.0, 0.4, 0.8, 1.0)"
-156.0,-164.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,-156.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,-112.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,-76.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,-72.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,-28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,56.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,68.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,80.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,92.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,112.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,116.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,124.0,"(0.0, 0.4, 0.8, 1.0)"
-156.0,128.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,132.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,136.0,"(0.0, 0.2, 0.4, 1.0)"
-156.0,140.0,"(0.0, 0.2, 0.4, 1.0)"
-156.0,144.0,"(0.4, 0.8, 0.0, 1.0)"
-156.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,172.0,"(1.0, 1.0, 0.4, 1.0)"
-156.0,176.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-152.0,-180.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,-176.0,"(0.4, 0.8, 0.0, 1.0)"
-152.0,-172.0,"(0.0, 0.4, 0.8, 1.0)"
-152.0,-168.0,"(0.0, 0.2, 0.4, 1.0)"
-152.0,-164.0,"(0.0, 0.4, 0.8, 1.0)"
-152.0,-160.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-156.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-104.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-76.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-68.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-56.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-52.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-48.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,72.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,76.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,80.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,84.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,96.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,100.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,104.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,108.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,116.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,124.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,128.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,132.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,136.0,"(0.0, 0.4, 0.8, 1.0)"
-152.0,140.0,"(0.0, 0.4, 0.8, 1.0)"
-152.0,144.0,"(1.0, 0.0, 0.0, 1.0)"
-152.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,176.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,-180.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,-176.0,"(1.0, 1.0, 0.4, 1.0)"
-148.0,-172.0,"(0.0, 0.6, 0.0, 1.0)"
-148.0,-168.0,"(0.0, 0.4, 0.8, 1.0)"
-148.0,-164.0,"(0.0, 0.4, 0.8, 1.0)"
-148.0,-160.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-108.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-104.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-64.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-48.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-40.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-32.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,-20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
